,age,businessage,bankaccount,credit,employees,employeesnumber,loan,gender,lprofit,tprofit,sec0,sec1,sec2,sec3,sec0_0,sec0_1,sec0_2,sec0_3,sec0_4,sec0_5,sec0_6,sec0_7,sec0_8,sec0_9,sec0_10,sec1_1,sec1_2,sec1_3,sec1_4,sec1_5,sec1_6,sec2_0,sec2_1,sec2_2,sec2_3,sec2_4,sec2_5,sec2_6,sec2_7,sec3_0,sec3_1,sec3_2,sec3_3,sec3_4,sec3_5,sec3_6,sec3_7,self_taught,youngfirm,binf,bf,avg_profit_agegen,binl,bl,avg_I_emp_learn,lavg_profit_learn,lavg_wagebill_learn,secondaryedu,marketing,account
0,50.0,15.0,1.0,1.0,0.0,0.0,0.0,,9.903487,20000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.,,25000.0,.,.-0,0.0,10.126631,,1.0,0.0,0.0
1,32.0,10.0,1.0,0.0,0.0,0.0,1.0,,10.308952,30000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,.,,25000.0,.,.-0,0.0,10.126631,,1.0,0.0,0.0
2,21.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,1.0
3,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.377759,1600.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
4,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.1049795,9000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
5,27.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.699514,6000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
6,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.853665,7000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,1.0
7,24.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.699514,6000.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,1.0
8,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.922658,7500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
9,24.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,8.987197,8000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
