,id,wave,months_since_treat,count,treat,treat2,meet,meet2,tprofits,delta_profits,delta_profits_c,delta_profits_b,trevenue,price,cprice,delta_meet,difficulties,mentorbenefit,discuss,discussever,otherinvest,loanlastyear,marketing,temployeesnumber,I_emp,twagebill,tinventorystock,tweekopen,keeps_some_records,supplierswitch,new_product,z_business_score,z_marketing_score,marketing_score,competitorprice,competitorproduct,sales,upsell,do_advert,z_stock_score,stock_score,supplierhaggle,suppliercompare,stockout,z_record_score,record_score,everysale,consultrecords,budget,class,mentorL,mentorM,mentorH,exit,secondaryedu_M,mentorL_ba,mentorM_ba,mentorH_ba,mentor_hs,mentor_ps,profit_b,tprofits_b,emp_b,emp_b2,I_emp_b,age_b,lage_b,businessage_b,sec0_b,sec1_b,sec2_b,sec3_b,sec4_b,sec0_0,sec0_1,sec0_2,sec0_3,sec0_4,sec0_5,sec0_6,sec0_7,sec0_8,sec0_9,sec0_10,sec1_1,sec1_2,sec1_3,sec1_4,sec1_5,sec1_6,sec2_0,sec2_1,sec2_2,sec2_3,sec2_4,sec2_5,sec2_6,sec2_7,sec3_0,sec3_1,sec3_2,sec3_3,sec3_4,sec3_5,sec3_6,sec3_7,formalaccount_b,credit_b,bankaccount_b,loan_b,secondaryedu_b,advert_b,retail_b,manu_b,serv_b,food_b,keeps_some_records_b,marketing_b
0,21.0,0.0,-2.0,7.0,2.0,3.0,,,1200.0,,-0.47041512,,,,,,0 2 10,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,21.0,1.0,1.0,7.0,3.0,3.0,,,1000.0,-0.18232155,-0.5499196,-1.791759,,,,,,,,,0.0,,0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,21.0,2.0,2.0,7.0,3.0,3.0,,,1800.0,0.5877867,0.18566036,-1.2039723,,,,,,,,,0.0,,0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,21.0,3.0,3.0,7.0,3.0,3.0,,,800.0,-0.81093025,-0.8667331,-2.0149026,1800.0,,,,,,,,0.0,,1,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,21.0,4.0,4.0,7.0,3.0,3.0,,,500.0,-0.4700036,-1.3518286,-2.4849062,2000.0,,,,,,,,0.0,,1,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,21.0,5.0,7.0,7.0,3.0,3.0,,,3000.0,1.7917595,0.20750189,-0.6931467,6000.0,15.0,2500.0,,8 9 10,,,,0.0,,0,0.0,0.0,0.0,7000.0,60.0,1.0,1.0,1.0,0.32299593,-1.2278992,0.0,0.0,0.0,0.0,0.0,0.0,1.1158162,2.0,1.0,1.0,0.0,0.9574194,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,21.0,6.0,12.0,7.0,3.0,3.0,,,1000.0,-1.0986123,-0.6797533,-1.791759,2000.0,50.0,2.0,,,,,,0.0,0.0,0,0.0,0.0,0.0,2500.0,60.0,1.0,,1.0,0.15377897,0.40741852,2.0,0.0,0.0,1.0,1.0,0.0,1.2926176,2.0,1.0,1.0,0.0,-1.2726872,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,21.0,7.0,17.0,7.0,3.0,3.0,,,1500.0,0.40546513,-0.27427578,-1.3862939,3000.0,1800.0,2500.0,,,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,6000.0,1200.0,0.0,,0.0,24.0,3.1780539,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,61.0,0.0,-2.0,7.0,2.0,4.0,,0.0,1800.0,,-0.06494999,,,,,,0 8 11,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,9000.0,1800.0,0.0,,0.0,24.0,3.1780539,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,61.0,1.0,1.0,7.0,4.0,4.0,1.0,1.0,2000.0,0.10536051,0.14322758,-1.504077,,,,,,,1,,0.0,,0,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,9000.0,1800.0,0.0,,0.0,24.0,3.1780539,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
