,binf,gender,bf,avg_profit_agegen,avg_profit_agegen_norm,Business Experience(years)
752,1,0.0,1-0,15480.303,1.0000001766357887,0-1
964,2,0.0,2-0,23054.24,1.4892631431157666,1-5
2312,3,0.0,3-0,28523.955,1.842597047739708,5-10
2891,4,0.0,4-0,32682.691,2.111244058981415,10-15
3280,5,0.0,5-0,22879.365,1.4779665274171043,15-20
3198,6,0.0,6-0,19770.213,1.2771207851672772,>20
357,1,1.0,1-1,9295.809,0.9999998487221663,0-1
1381,2,1.0,2-1,13429.738,1.4447087753783694,1-5
2220,3,1.0,3-1,16620.0,1.7879022914624978,5-10
2944,4,1.0,4-1,19717.322,2.1210978134907017,10-15
3258,5,1.0,5-1,17003.174,1.8291223495451177,15-20
3291,6,1.0,6-1,18034.092,1.9400237092706285,>20
