treat2,months_since_treat,shade,mean
2.0,-2.0,0,1942.4786324786326
4.0,-2.0,0,1815.7903225806451
3.0,-2.0,0,1732.9606299212599
2.0,1.0,0,1733.1140350877192
4.0,1.0,0,1980.132743362832
3.0,1.0,0,1940.040650406504
2.0,2.0,0,1412.4271844660195
4.0,2.0,0,1451.45
3.0,2.0,0,1348.125
4.0,3.0,0,2100.2020202020203
3.0,3.0,0,1749.5652173913043
2.0,3.0,0,1903.3009708737864
3.0,4.0,0,1824.017857142857
2.0,4.0,0,1620.2830188679245
4.0,4.0,0,2511.372549019608
3.0,7.0,0,2501.740740740741
2.0,7.0,0,2437.8350515463917
4.0,7.0,0,3249.8
4.0,12.0,0,1646.201923076923
3.0,12.0,0,1418.409090909091
2.0,12.0,0,1732.1574074074074
3.0,17.0,0,2210.045045045045
2.0,17.0,0,1973.3663366336634
4.0,17.0,0,2011.8181818181818
