,id,max_wave,topics
0,61.0,1.0,1.0
1,266.0,6.0,3.0
2,352.0,1.0,2.0
3,494.0,6.0,4.0
4,620.0,6.0,5.0
5,738.0,6.0,5.0
6,797.0,5.0,2.0
7,896.0,6.0,3.0
8,927.0,5.0,1.0
9,1041.0,4.0,2.0
10,1076.0,3.0,3.0
11,1086.0,4.0,10.0
12,1449.0,5.0,10.0
13,1680.0,5.0,5.0
14,1828.0,6.0,3.0
15,2383.0,4.0,1.0
16,2858.0,3.0,3.0
17,2873.0,6.0,4.0
18,2920.0,6.0,10.0
19,5206.0,4.0,4.0
20,5214.0,3.0,2.0
21,5217.0,6.0,2.0
22,5223.0,6.0,4.0
23,5224.0,4.0,10.0
24,5225.0,3.0,3.0
25,5236.0,4.0,2.0
26,5257.0,6.0,2.0
27,5268.0,6.0,10.0
28,5282.0,3.0,2.0
29,5288.0,3.0,5.0
30,5303.0,2.0,3.0
31,5305.0,4.0,10.0
32,5315.0,5.0,7.0
33,5365.0,6.0,1.0
34,5376.0,3.0,10.0
35,5377.0,4.0,1.0
36,5386.0,6.0,6.0
37,5387.0,2.0,2.0
38,5402.0,6.0,3.0
39,5425.0,4.0,2.0
40,5459.0,4.0,7.0
41,5460.0,4.0,10.0
42,5465.0,3.0,3.0
43,5466.0,5.0,7.0
44,5467.0,6.0,4.0
45,5469.0,5.0,3.0
46,5480.0,6.0,3.0
47,5489.0,6.0,3.0
48,5490.0,4.0,4.0
49,5491.0,2.0,10.0
50,5497.0,2.0,5.0
51,5499.0,6.0,10.0
52,5514.0,5.0,3.0
53,5517.0,6.0,10.0
54,5527.0,6.0,3.0
55,5547.0,3.0,9.0
56,5558.0,5.0,3.0
57,5560.0,6.0,6.0
58,5566.0,4.0,10.0
59,5568.0,6.0,3.0
60,5573.0,4.0,1.0
61,5575.0,6.0,5.0
62,5580.0,6.0,0.0
63,5600.0,6.0,3.0
64,5606.0,2.0,4.0
65,5616.0,6.0,9.0
66,5619.0,0.0,6.0
67,5628.0,0.0,3.0
68,5641.0,3.0,10.0
69,5643.0,6.0,4.0
70,5646.0,6.0,8.0
71,5660.0,6.0,7.0
72,5669.0,3.0,2.0
73,5671.0,4.0,6.0
74,5675.0,6.0,9.0
75,5684.0,6.0,7.0
76,5693.0,1.0,2.0
77,5697.0,6.0,4.0
78,5745.0,4.0,3.0
79,5747.0,6.0,5.0
80,5753.0,3.0,10.0
81,5761.0,6.0,10.0
82,6047.0,4.0,10.0
83,6054.0,4.0,5.0
84,6097.0,6.0,7.0
85,6151.0,3.0,4.0
86,6167.0,6.0,1.0
87,6177.0,6.0,2.0
88,6179.0,6.0,1.0
89,6206.0,5.0,6.0
90,8027.0,6.0,5.0
91,8038.0,4.0,6.0
92,8041.0,5.0,2.0
93,8043.0,5.0,2.0
94,8046.0,4.0,3.0
95,8052.0,6.0,2.0
96,8067.0,6.0,4.0
97,8091.0,5.0,2.0
98,8095.0,5.0,2.0
99,8097.0,2.0,1.0
100,8115.0,6.0,0.0
101,8139.0,6.0,1.0
102,8154.0,5.0,5.0
103,8166.0,6.0,5.0
104,8198.0,6.0,4.0
105,8201.0,6.0,3.0
