,self_taught,binl,bl,avg_I_emp_learn,lavg_profit_learn,lavg_wagebill_learn,Business Experience(years)
118,0.0,1,1-0,0.17955801,9.482376,7.2020316,<1
526,1.0,1,1-1,0.112033196,9.118648,6.3637447,1-5
1057,0.0,2,2-0,0.27258566,9.767037,7.8785696,5-10
1703,1.0,2,2-1,0.13793103,9.650672,6.9948974,10-15
2252,0.0,3,3-0,0.32992327,10.003176,8.319304,>15
2618,1.0,3,3-1,0.19736843,9.915131,7.5054526,<1
2871,0.0,4,4-0,0.32592592,10.210774,8.735048,1-5
2989,1.0,4,4-1,0.18446602,10.062351,7.6436644,5-10
3108,0.0,5,5-0,0.2792208,9.988081,8.159219,10-15
3291,1.0,5,5-1,0.12820514,9.633078,6.384026,>15
